location;name
EM05A;Tram entre EMT04-EMD04
EM06A;Tram entre EMT06-EMD05
EM07A;(OBSOLET) Tram entre EMT07-EMD06
EM08A;Tram entre EMT07-EMD07
EMB29;Estació Bombament Baix Ebre EB-29
EMD01;Dipòsit Deltatres
EMD02;Dipòsit Polígon Mercaderies
EMD03;Dipòsit Sant Jaume d'Enveja
EMD04;Dipòsit Amposta
EMD05;Dipòsit La Ràpita 1
EMD06;(OBSOLET) Dipòsit La Ràpita 2
EMD07;Dipòsit Alcanar Platja
EMS01;Secc. 10139 jardí ETAP
EMS02;Secc. 10140 futura Camarles
EMS03;Secc. 5133 riu Ebre
EMT01;Terciària Deltatres
EMT02;Terciària Polígon Mercaderies
EMT03;Terciària  Sant Jaume d´Enveja
EMT04;Terciària d'Amposta
EMT05;Terciària Ramal Rocafosca
EMT06;Terciària La Ràpita 1
EMT07;Terciària La Ràpita 2-Alcanar
EMT08;Terciària Poble Nou
EMT31;Subterciària P.I. Catalunya Sud (futur)
ET010;Dipòsit d'aigua crua
ET011;DAC 1
ET012;DAC 2
ET013;Tamisat i dipòsit DAC
ET014;Caseta claus DAC
ET015;Caseta de connexió DAC
ET016;Caseta d'interconnexió DAC
ET020;Obra d'arribada
ET030;Mescla
ET040;Floculació-Decantació
ET041;Recirculació de fangs Fase 1
ET042;Recirculació de fangs Fase 2
ET050;Filtració amb sorra
ET051;Filtres de sorra
ET052;Rentat aire
ET053;Aigua de rentat
ET054;Canal de servei
ET055;Dipòsit de servei
ET056;Conducció aigua filtrada
ET060;Aigua tractada
ET061;Dipòsit Aigua tractada 1
ET062;Dipòsit Aigua tractada 2
ET063;Ampliació Dipòsit Aigua Neta (ADAN)
ET070;Tractament de fangs
ET071;Espessidors
ET072;Dipòsits de Fangs
ET073;Xarxa Fangs
ET074;Erols
ET075;Deshidratació de Fangs
ET076;Floculant Fangs
ET077;Caseta de bombament Fangs
ET078;Retorn fangs a riu
ET080;Recuperació d'aigües
ET081;Dipòsit Recuperació Aigües
ET082;Sistema Tractament Aigües Recuperades (TAR)
ET090;Reactius 1
ET091;(OBSOLET) Clor
ET092;Coagulant
ET093;Floculant Reactius 1
ET094;(OBSOLET) Carbó Actiu Pols
ET100;(OBSOLET) Reactius 2
ET101;(OBSOLET) Permanganat
ET102;OBSOELT_Diòxid de Clor
ET110;Filtres de carbó actiu granulat
ET111;Bombament FCAG
ET112;Filtres de carbó actiu granulat
ET113;Rentat aire FCAG
ET114;Bombament aigua de rentat FCAG
ET115;Recuperació aigua de rentat FCAG
ET116;Sistemes de transvassament FCAG
ET117;Dipòsit canal de servei
ET120;Diòxid de carboni
ET130;Ozó
ET131;PreOzonització
ET132;PostOzonització
ET133;Oxigen líquid
ET140;Dosificador clor
ET141;Hipoclorit 15%
ET142;Electrocloració ETAP
ET143;Hipoclorit 15% Emergència
ET150;Desinfecció UVA
ET200;Serveis auxiliars
ET201;Xarxa aire a pressió
ET202;Bombes d'exhaurir
ET203;Grup electrogen
ET204;UPS
ET210;Instal·lacions comunes
ET220;Instal·lacions AT ETAP
ET221;Instal·lació SSEE ETAP
ET222;Instal·lació 6 kV FCAG
ET223;Instal·lació 6 kV Tractaments
FPOLO;Francesc Polo
FSANZ;Félix Sanz
IA010;EDAR
IC010;Repetidor Mas Carrasca
IC020;Repetidor la Mussara
IC030;Repetidor Calafell Les Brises
IC040;Repetidor Antenes Perelló
IC050;Repetidor Mont Caro
IC060;Repetidor Coll Redó
IC070;Repetidor Montblanc
IC080;Repetidor La Granja
IC090;Repetidor Torre EB-3
IC100;Repetidor Xemeneia EB-1
IC110;Repetidor Sala Control ETAP
IC120;Repetidor Xemeneia EB-2
IC130;Repetidor Xemeneia EB-0
IC140;Repetidor La Selva del Camp
IC300;Comunicacions radio digital
IC400;Comunicacions radio IP
IC500;Comunicacions cable
IC501;Comunicacions cable Línia Sud 1
IC502;Comunicacions cable Línia Sud 2
IC503;Comunicacions cable Línia Centre
IC504;Comunicacions cable Línia Nord
IC600;Comunicacions WIFI
IC601;Comunicacions WIFI Central
IC602;Comunicacions WIFI ETAP
LAURA;Laura Gutierrez
LB010;Laboratori fisico-químic
LB020;Tècniques especials
LB030;Microbiologia
LB040;Aparells de camp
LB050;Auxiliar
LB060;Sala mesuradors
LB100;Laboratori de Qualitat de l’Aigua LQAIGUA
LT01A;Tram entre LTB20-LTT01
LT01B;Tram entre LTT01-LTT02
LT01C;Tram entre LTT02-LTT03
LT01D;Tram entre LTT03-LTT04
LT01E;Tram entre LTT04-LTT05
LT01F;Tram entre LTT05-LTT06
LT01G;Tram entre LTT06-LTT07
LT01H;Tram entre LTT07-LTT08
LT01I;Tram entre LTT08-LTT09
LT01J;Tram entre LTT09-LTT10
LT01K;Tram entre LTT10-LTT11
LT01L;Tram entre LTT11-CCB05
LT02A;Tram entre LTT01-LTD01
LT03A;Tram entre LTT03-LTD02
LT04A;Tram entre LTT06-LTD03
LT05A;Tram entre LTT08-LTD04
LT06A;Tram entre LTT09-LTD05
LT07A;Tram entre LTT11-LTD06
LT08A;Tram entre LTT11-LTT81
LT08B;Tram entre LTT81-LTD07
LT08C;Tram entre LTT81-LTD08
LT09A;Tram entre CCB05-LTD09
LT10A;Tram entre LTT08-LTD10
LT11A;Tram LTT12-LTD11
LT12A;(OBSOLET) Tram LTT01-LTD12
LT13A;Tram LTT10-LTD15
LT14A;Tram entre LTT61-LTD13
LTB20;Estació Bombament St. Pere i St Pau EB-20
LTB31;Estació Bombament Roda de Berà Nord EB-31
LTB32;Estació Bombament Bonastre EB-32
LTC01;Consum Catllar Mas Enric
LTC02;Consum Pobla de Montornès
LTD01;Dipòsit Boscos
LTD02;Dipòsit La Mora
LTD03;Dipòsits  d'Altafulla Nums 1 i 2
LTD04;Dipòsit Torredembarra (El Pujol)
LTD05;Dipòsit Creixell
